Event,City,Country,Distance,Date,Link
Indianapolis Monumental Marathon,Indianapolis,USA,Marathon,11/9/2024,https://www.monumentalmarathon.com/
St. George Marathon,St. George,USA,Marathon,10/5/2024,https://www.stgeorgemarathon.com/
Jerusalem Marathon,Jerusalem,Israel,Marathon,3/14/2025,https://jerusalem-marathon.com/
Nagano Marathon,Nagano,Japan,Marathon,4/21/2025,https://www.naganomarathon.gr.jp/
Toroko Gorge Marathon,Hualien,Taiwan,Marathon,11/2/2024,https://www.taroko.gov.tw/
Midnight Sun Marathon,Tromsø,Norway,Marathon,6/22/2025,https://www.msm.no/
Medoc Marathon,Pauillac,France,Marathon,9/7/2024,https://www.marathondumedoc.com/
Borobudur Marathon,Magelang,Indonesia,Marathon,11/17/2024,https://www.borobudurmarathon.com/
Sunshine Coast Marathon,Sunshine Coast,Australia,Marathon,8/4/2024,https://www.sunshinecoastmarathon.com.au/
Marrakech Marathon,Marrakech,Morocco,Marathon,1/28/2025,https://www.marathon-marrakech.com/
Mexico City Marathon,Mexico City,Mexico,Marathon,8/25/2024,https://maraton.cdmx.gob.mx/
Rotorua Marathon,Rotorua,New Zealand,Marathon,5/4/2024,https://rotoruamarathon.co.nz/
Bali Marathon,Gianyar,Indonesia,Marathon,8/25/2024,https://www.balimarathon.com/
Phuket Marathon,Phuket,Thailand,Marathon,6/9/2024,https://www.phuketmarathon.com/
Big Sur Marathon,Big Sur,USA,Marathon,4/28/2024,https://www.bigsurmarathon.org/
Queenstown Marathon,Queenstown,New Zealand,Marathon,11/16/2024,https://queenstown-marathon.co.nz/
Vermont City Marathon,Burlington,USA,Marathon,5/26/2024,https://www.runvcm.org/
Ljubljana Half Marathon,Ljubljana,Slovenia,Half Marathon,10/27/2024,https://vw-ljubljanskimaraton.si/
Bucharest Half Marathon,Bucharest,Romania,Half Marathon,5/11/2024,https://bucharest-marathon.com/
Tallinn Half Marathon,Tallinn,Estonia,Half Marathon,9/8/2024,https://tallinnmarathon.ee/
Wales Coastal Half Marathon,Pembrokeshire,UK,Half Marathon,7/6/2024,https://www.runwales.com/
Poznan Half Marathon,Poznan,Poland,Half Marathon,4/14/2024,https://halfmarathon.poznan.pl/
Hampton Court Palace Half,London,UK,Half Marathon,3/17/2024,https://www.palacehalf.com/
Great South Run,Portsmouth,UK,Half Marathon,10/20/2024,https://www.greatrun.org/events/great-south-run/
Marseille-Cassis,Marseille,France,Half Marathon,10/27/2024,https://www.marseille-cassis.com/
Esztergom Half Marathon,Esztergom,Hungary,Half Marathon,5/19/2024,https://esztergomfutofesztival.hu/
